## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --SORTING_COLLECTION_SIZE_RATIO 0.125 --INPUT data/splicesAD_mESC_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.mESC.bam --OUTPUT data/splicesAD_mESC_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.mESC.dedup.bam --METRICS_FILE data/splicesAD_mESC_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.mESC.dedup_metrics.txt --REMOVE_DUPLICATES true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 14 13:45:01 BST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	43	483482	6233	116961	0	23709	3943	0.049036	5656030

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007876	440773	0	444315
2.0	1.933178	17011	3828	13803
3.0	2.78267	1176	56	871
4.0	3.562564	277	1	250
5.0	4.278562	127	0	127
6.0	4.935899	89	0	93
7.0	5.53938	63	0	63
8.0	6.093419	54	0	49
9.0	6.602066	46	0	49
10.0	7.06904	41	0	41
11.0	7.497755	27	0	24
12.0	7.891346	15	0	17
13.0	8.25269	13	0	14
14.0	8.58443	12	0	10
15.0	8.88899	10	0	9
16.0	9.168598	2	0	1
17.0	9.425298	1	0	1
18.0	9.660966	3	0	3
19.0	9.877327	0	0	0
20.0	10.075961	0	0	1
21.0	10.258321	3	0	2
22.0	10.425741	0	0	0
23.0	10.579444	0	0	0
24.0	10.720554	0	0	0
25.0	10.850104	0	0	1
26.0	10.969039	1	0	0
27.0	11.07823	0	0	0
28.0	11.178475	0	0	0
29.0	11.270508	0	0	0
30.0	11.355	0	0	0
31.0	11.432569	0	0	0
32.0	11.503784	0	0	0
33.0	11.569164	0	0	0
34.0	11.629187	0	0	0
35.0	11.684293	0	0	0
36.0	11.734884	0	0	0
37.0	11.78133	0	0	0
38.0	11.82397	0	0	0
39.0	11.863118	0	0	0
40.0	11.899058	0	0	0
41.0	11.932053	0	0	0
42.0	11.962345	0	0	0
43.0	11.990155	0	0	0
44.0	12.015687	0	0	0
45.0	12.039127	0	0	0
46.0	12.060647	0	0	0
47.0	12.080403	0	0	0
48.0	12.098541	0	0	0
49.0	12.115193	0	0	0
50.0	12.130481	0	0	0
51.0	12.144516	0	0	0
52.0	12.157401	0	0	0
53.0	12.16923	0	0	0
54.0	12.180091	0	0	0
55.0	12.190061	0	0	0
56.0	12.199215	0	0	0
57.0	12.207619	0	0	0
58.0	12.215334	0	0	0
59.0	12.222417	0	0	0
60.0	12.22892	0	0	0
61.0	12.23489	0	0	0
62.0	12.240371	0	0	0
63.0	12.245403	0	0	0
64.0	12.250022	0	0	0
65.0	12.254263	0	0	0
66.0	12.258157	0	0	0
67.0	12.261732	0	0	0
68.0	12.265014	0	0	0
69.0	12.268026	0	0	0
70.0	12.270793	0	0	0
71.0	12.273332	0	0	0
72.0	12.275663	0	0	0
73.0	12.277804	0	0	0
74.0	12.279769	0	0	0
75.0	12.281573	0	0	0
76.0	12.283229	0	0	0
77.0	12.28475	0	0	0
78.0	12.286145	0	0	0
79.0	12.287427	0	0	0
80.0	12.288604	0	0	0
81.0	12.289684	0	0	0
82.0	12.290676	0	0	0
83.0	12.291586	0	0	0
84.0	12.292422	0	0	0
85.0	12.293189	0	0	0
86.0	12.293894	0	0	0
87.0	12.29454	0	0	0
88.0	12.295134	0	0	0
89.0	12.295679	0	0	0
90.0	12.29618	0	0	0
91.0	12.296639	0	0	0
92.0	12.297061	0	0	0
93.0	12.297448	0	0	0
94.0	12.297804	0	0	0
95.0	12.29813	0	0	0
96.0	12.29843	0	0	0
97.0	12.298705	0	0	0
98.0	12.298958	0	0	0
99.0	12.29919	0	0	0
100.0	12.299403	0	0	0

