## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --SORTING_COLLECTION_SIZE_RATIO 0.125 --INPUT data/splicesAD_pUC19Lambda_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.pUC19Lambda.bam --OUTPUT data/splicesAD_pUC19Lambda_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.pUC19Lambda.dedup.bam --METRICS_FILE data/splicesAD_pUC19Lambda_dedup/mESC-7cycles_S1_lanes_merged.splicesAD.pUC19Lambda.dedup_metrics.txt --REMOVE_DUPLICATES true --VALIDATION_STRINGENCY LENIENT --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_QUALITY_SUM_STRATEGY false --USE_END_IN_UNPAIRED_READS false --USE_UNPAIRED_CLIPPED_END false --UNPAIRED_END_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue May 14 13:45:41 BST 2024

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	0	587	8	0	0	29	8	0.049404	7787

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.013299	529	0	537
2.0	1.953022	27	8	19
3.0	2.824511	1	0	1
4.0	3.63272	0	0	0
5.0	4.382244	0	0	0
6.0	5.077344	0	0	0
7.0	5.721973	0	0	0
8.0	6.319795	0	0	0
9.0	6.874208	0	0	0
10.0	7.388365	0	0	0
11.0	7.865189	0	0	0
12.0	8.30739	0	0	0
13.0	8.717482	0	0	0
14.0	9.097797	0	0	0
15.0	9.450497	0	0	0
16.0	9.777587	0	0	0
17.0	10.080927	0	0	0
18.0	10.362242	0	0	0
19.0	10.623129	0	0	0
20.0	10.865074	0	0	0
21.0	11.08945	0	0	0
22.0	11.297535	0	0	0
23.0	11.49051	0	0	0
24.0	11.669473	0	0	0
25.0	11.835441	0	0	0
26.0	11.989359	0	0	0
27.0	12.1321	0	0	0
28.0	12.264477	0	0	0
29.0	12.387241	0	0	0
30.0	12.501092	0	0	0
31.0	12.606676	0	0	0
32.0	12.704593	0	0	0
33.0	12.795401	0	0	0
34.0	12.879615	0	0	0
35.0	12.957714	0	0	0
36.0	13.030142	0	0	0
37.0	13.097311	0	0	0
38.0	13.159603	0	0	0
39.0	13.217372	0	0	0
40.0	13.270946	0	0	0
41.0	13.32063	0	0	0
42.0	13.366706	0	0	0
43.0	13.409437	0	0	0
44.0	13.449065	0	0	0
45.0	13.485816	0	0	0
46.0	13.519898	0	0	0
47.0	13.551506	0	0	0
48.0	13.580818	0	0	0
49.0	13.608002	0	0	0
50.0	13.633212	0	0	0
51.0	13.656592	0	0	0
52.0	13.678274	0	0	0
53.0	13.698381	0	0	0
54.0	13.717029	0	0	0
55.0	13.734323	0	0	0
56.0	13.750361	0	0	0
57.0	13.765234	0	0	0
58.0	13.779027	0	0	0
59.0	13.791819	0	0	0
60.0	13.803682	0	0	0
61.0	13.814684	0	0	0
62.0	13.824887	0	0	0
63.0	13.834349	0	0	0
64.0	13.843123	0	0	0
65.0	13.851261	0	0	0
66.0	13.858808	0	0	0
67.0	13.865807	0	0	0
68.0	13.872298	0	0	0
69.0	13.878317	0	0	0
70.0	13.883899	0	0	0
71.0	13.889076	0	0	0
72.0	13.893878	0	0	0
73.0	13.89833	0	0	0
74.0	13.902459	0	0	0
75.0	13.906289	0	0	0
76.0	13.90984	0	0	0
77.0	13.913133	0	0	0
78.0	13.916188	0	0	0
79.0	13.91902	0	0	0
80.0	13.921647	0	0	0
81.0	13.924083	0	0	0
82.0	13.926342	0	0	0
83.0	13.928437	0	0	0
84.0	13.93038	0	0	0
85.0	13.932182	0	0	0
86.0	13.933854	0	0	0
87.0	13.935403	0	0	0
88.0	13.936841	0	0	0
89.0	13.938173	0	0	0
90.0	13.93941	0	0	0
91.0	13.940556	0	0	0
92.0	13.941619	0	0	0
93.0	13.942605	0	0	0
94.0	13.943519	0	0	0
95.0	13.944367	0	0	0
96.0	13.945154	0	0	0
97.0	13.945883	0	0	0
98.0	13.946559	0	0	0
99.0	13.947186	0	0	0
100.0	13.947768	0	0	0

